facebook_friends.gt
Iteration 10 New: [0, 0, 58, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 12, 0] diff:[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]
Iteration 20 New: [0, 0, 62, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 30 New: [0, 0, 62, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 40 New: [0, 0, 66, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 50 New: [0, 0, 74, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 60 New: [0, 0, 74, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 70 New: [0, 0, 76, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 80 New: [0, 0, 74, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 90 New: [0, 0, 74, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 100 New: [0, 0, 80, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 110 New: [0, 0, 74, 73, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 120 New: [0, 0, 77, 74, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 130 New: [0, 0, 75, 74, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 140 New: [0, 0, 75, 74, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 150 New: [0, 0, 69, 74, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 160 New: [0, 0, 75, 74, 66, 50, 57, 46, 70, 62, 74, 76, 38, 8, 0] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
