jazz_collab.gt
Iteration 10 New: [0, 0, 19, 19, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 20 New: [0, 0, 29, 19, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 30 New: [0, 0, 32, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 40 New: [0, 0, 40, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 50 New: [0, 0, 50, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 60 New: [0, 0, 58, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 70 New: [0, 0, 62, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 80 New: [0, 0, 66, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 90 New: [0, 0, 74, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 100 New: [0, 0, 82, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 110 New: [0, 0, 86, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 120 New: [0, 0, 88, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 130 New: [0, 0, 98, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 140 New: [0, 0, 104, 20, 14, 44, 48, 46, 52, 147, 108, 89, 67, 42, 29, 16, 11, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
